,일시,지점명,강수량(mm),사망자수,경상자수,부상신고자수,중상자수,총 피해자수
0,2018-01-01,강남구,0.0,0,2,2,1,5
1,2018-01-01,강동구,0.0,0,2,0,1,3
2,2018-01-01,강북구,0.0,0,4,0,1,5
3,2018-01-01,강서구,0.0,0,1,0,0,1
4,2018-01-01,관악구,0.0,0,7,1,1,9
5,2018-01-01,광진구,0.0,0,0,0,2,2
6,2018-01-01,구로구,0.0,0,1,0,2,3
7,2018-01-01,금천구,0.0,0,1,0,0,1
8,2018-01-01,노원구,0.0,0,2,0,0,2
9,2018-01-01,도봉구,0.0,0,0,0,0,0
10,2018-01-01,동대문구,0.0,0,1,1,0,2
11,2018-01-01,동작구,0.0,0,1,1,1,3
12,2018-01-01,마포구,0.0,0,4,0,2,6
13,2018-01-01,서대문구,0.0,0,0,2,0,2
14,2018-01-01,서초구,0.0,0,3,0,1,4
15,2018-01-01,성동구,0.0,0,0,0,0,0
16,2018-01-01,성북구,0.0,0,2,0,4,6
17,2018-01-01,송파구,0.0,0,7,0,6,13
18,2018-01-01,양천구,0.0,0,3,0,0,3
19,2018-01-01,영등포구,0.0,0,5,0,4,9
20,2018-01-01,용산구,0.0,0,4,0,0,4
21,2018-01-01,은평구,0.0,1,2,0,1,4
22,2018-01-01,종로구,0.0,0,2,0,1,3
23,2018-01-01,중구,0.0,0,1,0,1,2
24,2018-01-01,중랑구,0.0,0,6,0,3,9
25,2018-01-02,강남구,0.0,0,3,0,2,5
26,2018-01-02,강동구,0.0,0,3,1,0,4
27,2018-01-02,강북구,0.0,0,4,0,0,4
28,2018-01-02,강서구,0.0,0,2,0,0,2
29,2018-01-02,관악구,0.0,0,2,0,1,3
30,2018-01-02,광진구,0.0,0,0,0,2,2
31,2018-01-02,구로구,0.0,0,2,0,2,4
32,2018-01-02,금천구,0.0,0,3,0,0,3
33,2018-01-02,노원구,0.0,0,0,0,1,1
34,2018-01-02,도봉구,0.0,0,1,0,1,2
35,2018-01-02,동대문구,0.0,0,1,0,2,3
36,2018-01-02,동작구,0.0,0,0,0,0,0
37,2018-01-02,마포구,0.0,0,3,0,2,5
38,2018-01-02,서대문구,0.0,0,1,0,1,2
39,2018-01-02,서초구,0.0,0,2,0,2,4
40,2018-01-02,성동구,0.0,0,1,0,0,1
41,2018-01-02,성북구,0.0,0,3,0,0,3
42,2018-01-02,송파구,0.0,0,6,2,2,10
43,2018-01-02,양천구,0.0,0,3,0,2,5
44,2018-01-02,영등포구,0.0,0,3,0,1,4
45,2018-01-02,용산구,0.0,0,3,0,1,4
46,2018-01-02,은평구,0.0,0,3,0,3,6
47,2018-01-02,종로구,0.0,0,0,0,0,0
48,2018-01-02,중구,0.0,0,4,0,4,8
49,2018-01-02,중랑구,0.0,0,5,1,0,6
50,2018-01-03,강남구,0.0,0,8,1,4,13
51,2018-01-03,강동구,0.0,0,1,1,2,4
52,2018-01-03,강북구,0.0,0,1,0,1,2
53,2018-01-03,강서구,0.0,0,5,3,1,9
54,2018-01-03,관악구,0.0,0,1,0,1,2
55,2018-01-03,광진구,0.0,0,1,1,1,3
56,2018-01-03,구로구,0.0,0,4,1,1,6
57,2018-01-03,금천구,0.0,0,0,0,0,0
58,2018-01-03,노원구,0.0,0,3,0,1,4
59,2018-01-03,도봉구,0.0,0,3,0,0,3
60,2018-01-03,동대문구,0.0,0,2,1,3,6
61,2018-01-03,동작구,0.0,0,1,0,0,1
62,2018-01-03,마포구,0.0,0,3,0,2,5
63,2018-01-03,서대문구,0.0,0,3,0,0,3
64,2018-01-03,서초구,0.0,0,2,0,0,2
65,2018-01-03,성동구,0.0,0,1,0,1,2
66,2018-01-03,성북구,0.0,0,1,0,3,4
67,2018-01-03,송파구,0.0,0,3,2,0,5
68,2018-01-03,양천구,0.0,0,2,0,2,4
69,2018-01-03,영등포구,0.0,0,1,1,2,4
70,2018-01-03,용산구,0.0,2,3,0,1,6
71,2018-01-03,은평구,0.0,0,2,0,0,2
72,2018-01-03,종로구,0.0,0,3,0,1,4
73,2018-01-03,중구,0.0,0,3,0,1,4
74,2018-01-03,중랑구,0.0,0,2,0,0,2
75,2018-01-04,강남구,0.0,0,6,1,3,10
76,2018-01-04,강동구,0.0,0,1,0,2,3
77,2018-01-04,강북구,0.0,0,3,0,1,4
78,2018-01-04,강서구,0.0,0,3,0,0,3
79,2018-01-04,관악구,0.0,0,0,0,0,0
80,2018-01-04,광진구,0.0,0,1,0,0,1
81,2018-01-04,구로구,0.0,0,2,0,1,3
82,2018-01-04,금천구,0.0,0,3,0,1,4
83,2018-01-04,노원구,0.0,0,5,0,0,5
84,2018-01-04,도봉구,0.0,0,0,0,0,0
85,2018-01-04,동대문구,0.0,0,0,0,2,2
86,2018-01-04,동작구,0.0,1,3,0,1,5
87,2018-01-04,마포구,0.0,0,2,0,1,3
88,2018-01-04,서대문구,0.0,0,2,0,0,2
89,2018-01-04,서초구,0.0,1,5,1,1,8
90,2018-01-04,성동구,0.0,0,5,1,1,7
91,2018-01-04,성북구,0.0,0,2,0,0,2
92,2018-01-04,송파구,0.0,0,9,1,0,10
93,2018-01-04,양천구,0.0,0,0,0,1,1
94,2018-01-04,영등포구,0.0,0,4,0,2,6
95,2018-01-04,용산구,0.0,0,3,0,2,5
96,2018-01-04,은평구,0.0,0,1,0,2,3
97,2018-01-04,종로구,0.0,0,3,0,3,6
98,2018-01-04,중구,0.0,0,1,0,1,2
99,2018-01-04,중랑구,0.0,1,1,0,2,4
100,2018-01-05,강남구,0.0,0,12,1,5,18
101,2018-01-05,강동구,0.0,0,1,1,1,3
102,2018-01-05,강북구,0.0,0,0,2,0,2
103,2018-01-05,강서구,0.0,1,4,0,3,8
104,2018-01-05,관악구,0.0,0,1,0,1,2
105,2018-01-05,광진구,0.0,0,5,0,0,5
106,2018-01-05,구로구,0.0,0,1,0,0,1
107,2018-01-05,금천구,0.0,0,4,2,2,8
108,2018-01-05,노원구,0.0,0,2,0,1,3
109,2018-01-05,도봉구,0.0,0,2,0,3,5
110,2018-01-05,동대문구,0.0,0,5,1,1,7
111,2018-01-05,동작구,0.0,0,1,0,1,2
112,2018-01-05,마포구,0.0,0,7,1,2,10
113,2018-01-05,서대문구,0.0,0,7,0,3,10
114,2018-01-05,서초구,0.0,0,1,3,0,4
115,2018-01-05,성동구,0.0,0,4,0,1,5
116,2018-01-05,성북구,0.0,0,5,0,1,6
117,2018-01-05,송파구,0.0,0,3,0,0,3
118,2018-01-05,양천구,0.0,0,4,0,1,5
119,2018-01-05,영등포구,0.0,0,4,3,4,11
120,2018-01-05,용산구,0.0,0,2,0,2,4
121,2018-01-05,은평구,0.0,0,1,0,0,1
122,2018-01-05,종로구,0.0,0,4,1,1,6
123,2018-01-05,중구,0.0,0,1,1,1,3
124,2018-01-05,중랑구,0.0,0,1,0,1,2
125,2018-01-06,강남구,0.0,0,9,0,0,9
126,2018-01-06,강동구,0.0,0,1,0,2,3
127,2018-01-06,강북구,0.0,0,1,0,0,1
128,2018-01-06,강서구,0.0,1,7,0,2,10
129,2018-01-06,관악구,0.0,0,0,0,0,0
130,2018-01-06,광진구,0.0,0,2,0,1,3
131,2018-01-06,구로구,0.0,0,2,0,2,4
132,2018-01-06,금천구,0.0,0,5,1,1,7
133,2018-01-06,노원구,0.0,0,7,0,3,10
134,2018-01-06,도봉구,0.0,0,2,0,2,4
135,2018-01-06,동대문구,0.0,0,8,1,3,12
136,2018-01-06,동작구,0.0,0,1,1,1,3
137,2018-01-06,마포구,0.0,0,6,0,1,7
