,가게링크,가게이름,가게주소,구 이름,별점
0,https://place.map.kakao.com/16990385,쟝블랑제리,서울 관악구 낙성대역길 8,관악구,3.7
1,https://place.map.kakao.com/768850911,월화고기 보라매직영점,서울 관악구 보라매로3길 16,관악구,4.2
2,https://place.map.kakao.com/15317417,원조민속순대타운,서울 관악구 신림로59길 14,관악구,3.0
3,https://place.map.kakao.com/10122642,강강술래 신림점,서울 관악구 남부순환로 1660,관악구,2.4
4,https://place.map.kakao.com/1099251112,디자이너리카페,서울 관악구 관천로 71-1 4층,관악구,3.8
5,https://place.map.kakao.com/16622909,은행골 본점신관,서울 관악구 조원로 10-1 1층,관악구,3.2
6,https://place.map.kakao.com/18569567,정담은보쌈 신림점,서울 관악구 남부순환로 1661,관악구,4.3
7,https://place.map.kakao.com/1248045116,오목눈이,서울 관악구 장군봉1길 32 2층,관악구,4.0
8,https://place.map.kakao.com/1226967920,텐동요츠야,서울 관악구 관악로14길 35 1층,관악구,3.8
9,https://place.map.kakao.com/27508076,온정돈까스,서울 관악구 조원로 60 1층,관악구,2.1
10,https://place.map.kakao.com/20745677,복돈이부추삼겹살 사당본점,"서울 관악구 남현1길 68-14 1, 2층",관악구,2.4
11,https://place.map.kakao.com/367274233,오월의김밥,서울 관악구 봉천로 605,관악구,4.4
12,https://place.map.kakao.com/16044038,논밭골 봉천점,서울 관악구 청룡길 30,관악구,3.2
13,https://place.map.kakao.com/8416287,아리차이 신림점,서울 관악구 신림동길 4 1층,관악구,3.8
14,https://place.map.kakao.com/1153635092,킷사서울,서울 관악구 남부순환로226길 31 2층,관악구,2.9
15,https://place.map.kakao.com/16090577,서울갈비 신림점,서울 관악구 남부순환로 1645,관악구,4.3
16,https://place.map.kakao.com/16586486,기절초풍왕순대,서울 관악구 봉천로62길 2,관악구,3.6
17,https://place.map.kakao.com/13491393,막불감동 신림본점,서울 관악구 남부순환로 1599 지하1층,관악구,3.7
18,https://place.map.kakao.com/563659414,고기굽는사람들,서울 관악구 관악로14길 70 1층,관악구,4.5
19,https://place.map.kakao.com/11831516,청송산오징어,서울 관악구 남현1길 8,관악구,4.0
20,https://place.map.kakao.com/27468513,만성찬팅,서울 관악구 신림로 322-4 1층,관악구,3.4
21,https://place.map.kakao.com/297508565,사생활,서울 관악구 신사로14길 19 지하1층,관악구,3.9
22,https://place.map.kakao.com/21573872,미가할매집,서울 관악구 신림로 374,관악구,3.5
23,https://place.map.kakao.com/16094210,외래향 서울대점,서울 관악구 남부순환로 1801 2층,관악구,3.3
24,https://place.map.kakao.com/18508537,모힝,서울 관악구 남부순환로226길 36 2층,관악구,4.0
25,https://place.map.kakao.com/22045853,우리가참순대,서울 관악구 관악로 148 지하1층,관악구,4.1
26,https://place.map.kakao.com/1306419391,안녕부산,서울 관악구 관악로14길 45,관악구,2.4
27,https://place.map.kakao.com/1518802779,중화요리팔공,서울 관악구 남부순환로 1680 지하 1층,관악구,4.3
28,https://place.map.kakao.com/27388945,마뇨떡볶이,서울 관악구 신원로 35 삼모더프라임타워 2층,관악구,4.1
29,https://place.map.kakao.com/1168065433,폼앤노말,서울 관악구 신림로67길 25 1층,관악구,4.4
30,https://place.map.kakao.com/17340937,미림분식,서울 관악구 호암로 553,관악구,3.6
31,https://place.map.kakao.com/41742921,안녕베트남,서울 관악구 관악로14길 70 지하1층,관악구,3.2
32,https://place.map.kakao.com/27368278,깡통닭갈비,서울 관악구 남부순환로 1597-14,관악구,3.9
33,https://place.map.kakao.com/1234594694,마이무,서울 관악구 낙성대로 22-10 1층,관악구,4.0
34,https://place.map.kakao.com/960623897,황홀경,서울 관악구 관악로14길 37 지하1층,관악구,3.5
35,https://place.map.kakao.com/1172455632,고기싸롱 신대방역점,서울 관악구 난곡로 339,관악구,4.5
36,https://place.map.kakao.com/21132403,멕스칸즉석햄버거,서울 관악구 당곡길 9,관악구,4.6
37,https://place.map.kakao.com/1256440499,발루토,서울 관악구 신림로23길 28 1층,관악구,3.5
38,https://place.map.kakao.com/26344965,고베그릴,서울 관악구 남부순환로 2082-25 5층,관악구,3.3
39,https://place.map.kakao.com/895388898,온돌 샤로수길점,서울 관악구 봉천로 534 1층,관악구,4.1
40,https://place.map.kakao.com/16300902,한우정육마당 구로점,서울 관악구 시흥대로164길 3,관악구,4.3
41,https://place.map.kakao.com/192812269,쥬벤쿠바,서울 관악구 관악로14나길 10 1층,관악구,4.1
42,https://place.map.kakao.com/1748074099,하정식당,서울 관악구 보라매로 22 1층,관악구,4.3
43,https://place.map.kakao.com/25071301,스시려,서울 관악구 봉천로 456,관악구,3.2
44,https://place.map.kakao.com/27436494,제주상회,서울 관악구 관악로12길 108 지하 1층,관악구,4.2
45,https://place.map.kakao.com/12151638,동명 IZAKAYA,서울 관악구 남현1길 42 남현빌딩 4층,관악구,3.9
46,https://place.map.kakao.com/2010731418,고모네정육식당 신원시장점,서울 관악구 신원로 23,관악구,3.5
47,https://place.map.kakao.com/16705262,정원쌈밥보리밥,서울 관악구 신림로18가길 23,관악구,4.2
48,https://place.map.kakao.com/270395659,카페미엘,서울 관악구 관악로16길 38 2층,관악구,2.6
49,https://place.map.kakao.com/1884948997,동경산책 서울대입구점,서울 관악구 관악로14길 30 2층,관악구,3.4
50,https://place.map.kakao.com/27594137,봉이돈까스,서울 관악구 남부순환로 1754,관악구,4.1
51,https://place.map.kakao.com/13563785,초밥아저씨,서울 관악구 신원로 23 1층,관악구,3.2
52,https://place.map.kakao.com/25050114,또순이순대 본점,서울 관악구 신림로59길 14 원빌딩 1층,관악구,1.6
53,https://place.map.kakao.com/27226002,모힝 낙성대점,서울 관악구 봉천로62길 7 2층,관악구,4.4
54,https://place.map.kakao.com/1507921206,백산식당,서울 관악구 관악로14길 60,관악구,4.7
55,https://place.map.kakao.com/974308986,숙이네조개전골 서울대입구점,서울 관악구 관악로16길 41 1층,관악구,4.3
56,https://place.map.kakao.com/47918669,데일리오아시스 샤로수길점,서울 관악구 관악로14길 74-3 1층,관악구,
57,https://place.map.kakao.com/1139282156,원조부안집,서울 관악구 신사로 90 1층,관악구,4.0
58,https://place.map.kakao.com/543382106,탐나종합어시장 난곡사거리점,서울 관악구 남부순환로 1481,관악구,3.4
59,https://place.map.kakao.com/776342222,라미스콘,"서울 관악구 관악로14길 88 1~3층,옥상층",관악구,3.0
60,https://place.map.kakao.com/550696733,고베규카츠 신림점,서울 관악구 남부순환로176길 8 2층,관악구,3.7
61,https://place.map.kakao.com/2029556524,춘천골숯불닭갈비,서울 관악구 신림동7길 46 1층,관악구,4.8
62,https://place.map.kakao.com/27543933,강릉형제장칼국수 서울점,서울 관악구 대학5길 10-7 1층,관악구,4.0
63,https://place.map.kakao.com/9186293,시골집,서울 관악구 낙성대로 22-7,관악구,3.5
64,https://place.map.kakao.com/16086088,경식이네알쌈쭈꾸미 신림본점,서울 관악구 조원로18길 25 1층,관악구,3.9
65,https://place.map.kakao.com/71268832,온고지신,서울 관악구 관악로14길 101,관악구,3.5
66,https://place.map.kakao.com/12740961,옷살,서울 관악구 관악로 164 대우디오슈페리움 1단지 지하1층 104~105호,관악구,4.2
67,https://place.map.kakao.com/362406167,풍천민물장어삼억집,서울 관악구 남부순환로 1875,관악구,3.5
68,https://place.map.kakao.com/27279304,아모르미오,서울 관악구 행운2길 20 1층,관악구,3.6
69,https://place.map.kakao.com/8454873,오첨지,서울 관악구 남부순환로176길 18,관악구,4.0
70,https://place.map.kakao.com/22000100,티라노커피,서울 관악구 남부순환로230길 39,관악구,4.6
71,https://place.map.kakao.com/19807973,나인온스버거,서울 관악구 관악로12길 108 1층,관악구,3.8
72,https://place.map.kakao.com/2082503003,행운동조개,서울 관악구 남부순환로 1835-30 1층,관악구,4.8
73,https://place.map.kakao.com/222726140,미남참치,서울 관악구 남부순환로 1589,관악구,3.3
74,https://place.map.kakao.com/11657087,로향양꼬치,서울 관악구 관악로16길 35,관악구,3.9
75,https://place.map.kakao.com/1796644167,명품민물장어,서울 관악구 봉천로 453 1층,관악구,4.0
76,https://place.map.kakao.com/15943631,서울집 신림직영점,서울 관악구 신림동길 6,관악구,4.6
77,https://place.map.kakao.com/11572130,신풍루곱창,서울 관악구 은천로2길 18 1층,관악구,3.7
78,https://place.map.kakao.com/1163462582,역전할머니맥주 사당점,서울 관악구 승방4길 20 다청림라인씨티 1층 102호,관악구,4.2
79,https://place.map.kakao.com/11858247,부림,서울 관악구 청룡1길 7,관악구,3.1
80,https://place.map.kakao.com/802510891,카페폴,서울 관악구 남부순환로234길 43 1층,관악구,4.4
81,https://place.map.kakao.com/19387380,우리축산정육식당,서울 관악구 신림로65길 26,관악구,3.8
82,https://place.map.kakao.com/398840887,정통집 샤로수길점,서울 관악구 관악로14길 65 1층,관악구,4.1
83,https://place.map.kakao.com/21525658,신림황소곱창,서울 관악구 신림로65길 42 1층,관악구,4.2
84,https://place.map.kakao.com/26504962,데이즈앤데이즈,서울 관악구 시흥대로 578 광안빌딩 2층,관악구,2.8
85,https://place.map.kakao.com/2144193869,오삼숙이 본점,서울 관악구 대학길 57 1층,관악구,4.2
86,https://place.map.kakao.com/997674058,신셰프양꼬치&훠궈 남현동1호점,서울 관악구 남현3길 71,관악구,2.7
87,https://place.map.kakao.com/1394857156,피자네버슬립스 샤로수길점,서울 관악구 봉천로 534 2층,관악구,4.0
88,https://place.map.kakao.com/21424443,만양순대국,서울 관악구 은천로 132,관악구,3.4
89,https://place.map.kakao.com/392727294,신기루황소곱창구이,서울 관악구 관악로13길 25,관악구,2.9
90,https://place.map.kakao.com/17890775,르브와 신림점,서울 관악구 신원로 34 3층,관악구,3.1
91,https://place.map.kakao.com/23980857,아띠,서울 관악구 쑥고개로 137,관악구,3.5
92,https://place.map.kakao.com/482399452,소디스커피,서울 관악구 남부순환로230길 45 1층 101호,관악구,4.1
93,https://place.map.kakao.com/7991184,아웃백스테이크하우스 서울대점,서울 관악구 남부순환로 1840 계림빌딩,관악구,3.8
94,https://place.map.kakao.com/26428421,미나리생삼겹,서울 관악구 남부순환로 1585-3,관악구,4.3
95,https://place.map.kakao.com/25592312,동네아저씨치킨,서울 관악구 행운2길 16,관악구,3.6
96,https://place.map.kakao.com/1986281020,제주탐하리 신림점,서울 관악구 남부순환로 1597-12 1층,관악구,3.6
97,https://place.map.kakao.com/1192617968,하이보 서울대입구점,서울 관악구 관악로 134 2층,관악구,3.6
98,https://place.map.kakao.com/15637180,돈파스팔레 낙성대본점,서울 관악구 봉천로 568-1 2층,관악구,2.5
99,https://place.map.kakao.com/10277585,진우리참치 별관,서울 관악구 봉천로 472,관악구,2.7
100,https://place.map.kakao.com/565350702,비엔나커피하우스 신림점,서울 관악구 신림로 363 1~3층,관악구,4.1
101,https://place.map.kakao.com/924997751,오후의과일,서울 관악구 관악로14길 15 2층,관악구,2.7
102,https://place.map.kakao.com/680616215,교꾸스시,서울 관악구 남현1길 9 한일프라자 1층 106호,관악구,4.4
103,https://place.map.kakao.com/1776756756,탐나종합어시장,서울 관악구 남부순환로 1633,관악구,2.4
104,https://place.map.kakao.com/18546321,고창복의낙지세상 봉천점,서울 관악구 남부순환로 1725,관악구,2.3
105,https://place.map.kakao.com/2092574237,삼백돈돈가츠,서울 관악구 남부순환로230길 48 1층,관악구,2.6
106,https://place.map.kakao.com/1669362918,탐나종합어시장 서울대입구역점,서울 관악구 남부순환로 1808 1층,관악구,2.4
107,https://place.map.kakao.com/17997832,더은교,서울 관악구 봉천로 600-1,관악구,
108,https://place.map.kakao.com/569989022,퍼블리코타코,서울 관악구 관악로14길 106 1층,관악구,4.0
109,https://place.map.kakao.com/2067688877,라이라이켄,서울 관악구 봉천로53길 5,관악구,3.8
110,https://place.map.kakao.com/18835013,신촌황소곱창,서울 관악구 남부순환로 1597-4,관악구,3.3
111,https://place.map.kakao.com/1175054334,테이블1629,서울 관악구 장군봉2길 32 1층,관악구,4.0
112,https://place.map.kakao.com/21330816,진순자김밥 봉천본점,서울 관악구 청룡1길 19,관악구,2.8
113,https://place.map.kakao.com/60696850,초와밥,서울 관악구 관악로15길 6 2층,관악구,4.2
114,https://place.map.kakao.com/1850085124,시트론오피스,서울 관악구 남부순환로234길 18 2층,관악구,3.9
115,https://place.map.kakao.com/1451597437,서울테이블,서울 관악구 관악로14길 28 2층,관악구,3.6
116,https://place.map.kakao.com/16740149,낙성곱창,서울 관악구 봉천로 495-3,관악구,4.0
117,https://place.map.kakao.com/1575793346,낀알로이알로이,서울 관악구 청룡2길 29 106호,관악구,4.0
118,https://place.map.kakao.com/388974911,술이남,서울 관악구 신림동길 5 2층,관악구,4.7
119,https://place.map.kakao.com/1367744153,소블리,서울 관악구 남부순환로234길 18 지하1층,관악구,4.9
120,https://place.map.kakao.com/385321336,타이펑,서울 관악구 관악로24길 61,관악구,3.8
121,https://place.map.kakao.com/1118826861,소담촌 봉천현대시장직영점,서울 관악구 양녕로 50 금강빌딩 2층,관악구,3.8
122,https://place.map.kakao.com/21928434,목포수산,서울 관악구 관천로 39,관악구,3.8
123,https://place.map.kakao.com/1474373896,메이지커피,서울 관악구 난곡로 363-1 2층,관악구,4.7
124,https://place.map.kakao.com/633470628,힘찬정육식당 사당역직영점,서울 관악구 남현1길 58,관악구,3.1
125,https://place.map.kakao.com/1352257684,충청삼겹,서울 관악구 남부순환로230길 15 1층,관악구,4.4
126,https://place.map.kakao.com/16881588,서우얼큰칼국수,서울 관악구 관천로11길 154,관악구,4.4
127,https://place.map.kakao.com/21582611,토모,서울 관악구 관악로15길 24 2층,관악구,2.3
128,https://place.map.kakao.com/434232475,정가 한정식,서울 관악구 남부순환로 1710 1층,관악구,3.3
129,https://place.map.kakao.com/11495399,지구당,서울 관악구 관악로12길 5,관악구,3.0
130,https://place.map.kakao.com/508064654,고로커피로스터스,서울 관악구 남부순환로231길 33,관악구,4.1
131,https://place.map.kakao.com/1832969186,생생조개,서울 관악구 관천로 45-1 1층,관악구,3.5
132,https://place.map.kakao.com/2010643844,천미미,서울 관악구 시흥대로 552 2층,관악구,3.8
133,https://place.map.kakao.com/1820763284,인투커피,서울 관악구 난곡로 331,관악구,4.5
134,https://place.map.kakao.com/493709215,메이드바이아린,서울 관악구 남부순환로230길 40-4 1층,관악구,4.0
135,https://place.map.kakao.com/27283387,두리닭발 사당본점,서울 관악구 남현3길 78 2층,관악구,4.2
136,https://place.map.kakao.com/27455781,오막회집 서울대점,서울 관악구 남부순환로226길 19,관악구,2.6
137,https://place.map.kakao.com/1150937270,행운당,서울 관악구 행운1길 40,관악구,3.6
138,https://place.map.kakao.com/1221674127,빽돈 샤로수길점,서울 관악구 관악로16길 32-2 1층,관악구,3.4
139,https://place.map.kakao.com/25854137,불삼시대,서울 관악구 신림로65길 24,관악구,3.5
140,https://place.map.kakao.com/1163226224,라공방 신림점,서울 관악구 신림로 340 르네상스쇼핑몰 1층,관악구,3.3
141,https://place.map.kakao.com/13306781,두만강샤브샤브 봉천점,서울 관악구 봉천로 537 1층,관악구,3.7
142,https://place.map.kakao.com/25539424,부뚜막,서울 관악구 남부순환로 1597-15,관악구,3.2
143,https://place.map.kakao.com/1912842009,산촌쭈꾸미 서울대점,서울 관악구 신림로 211 고바우빌딩 1층,관악구,4.5
144,https://place.map.kakao.com/15843904,골목집 사당역점,서울 관악구 남현1길 68-10,관악구,4.0
145,https://place.map.kakao.com/20133772,풍무양꼬치,서울 관악구 시흥대로 572 2층,관악구,3.7
146,https://place.map.kakao.com/26923094,낙원양꼬치,서울 관악구 난곡로 347,관악구,4.5
147,https://place.map.kakao.com/13305311,우리설렁탕 신림점,서울 관악구 신림로 190,관악구,2.5
148,https://place.map.kakao.com/1449345481,낭만모로코,서울 관악구 관악로14길 88,관악구,4.4
