,구별,날짜,강수량,1시간최다강수량,사망자수,중상자수,경상자수,부상신고자수,건수,강수여부,폭우여부1,폭우여부2,폭우여부종합
0,강남구,2018-01-01,0.0,0.0,0.0,1.0,2.0,2.0,4.0,0.0,0,0,0
1,강남구,2018-01-02,0.0,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0,0,0
2,강남구,2018-01-03,0.0,0.0,0.0,4.0,8.0,1.0,9.0,0.0,0,0,0
3,강남구,2018-01-04,0.0,0.0,0.0,3.0,6.0,1.0,8.0,0.0,0,0,0
4,강남구,2018-01-05,0.0,0.0,0.0,5.0,12.0,1.0,14.0,0.0,0,0,0
5,강남구,2018-01-06,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0,0,0
6,강남구,2018-01-07,0.0,0.0,0.0,1.0,4.0,0.0,4.0,0.0,0,0,0
7,강남구,2018-01-08,0.5,0.5,1.0,2.0,11.0,2.0,10.0,1.0,0,0,0
8,강남구,2018-01-09,0.0,0.0,0.0,1.0,7.0,0.0,8.0,0.0,0,0,0
9,강남구,2018-01-10,0.0,0.0,0.0,4.0,17.0,1.0,16.0,0.0,0,0,0
10,강남구,2018-01-11,0.0,0.0,0.0,12.0,18.0,1.0,19.0,0.0,0,0,0
11,강남구,2018-01-12,0.0,0.0,0.0,4.0,17.0,5.0,19.0,0.0,0,0,0
12,강남구,2018-01-13,0.0,0.0,0.0,6.0,11.0,4.0,14.0,0.0,0,0,0
13,강남구,2018-01-14,0.0,0.0,0.0,2.0,13.0,2.0,9.0,0.0,0,0,0
14,강남구,2018-01-15,0.0,0.0,0.0,2.0,13.0,1.0,10.0,0.0,0,0,0
15,강남구,2018-01-16,0.0,0.0,0.0,2.0,15.0,2.0,13.0,0.0,0,0,0
16,강남구,2018-01-17,0.0,0.0,0.0,4.0,15.0,4.0,17.0,0.0,0,0,0
17,강남구,2018-01-18,0.0,0.0,0.0,8.0,21.0,1.0,14.0,0.0,0,0,0
18,강남구,2018-01-19,0.0,0.0,0.0,6.0,12.0,4.0,9.0,0.0,0,0,0
19,강남구,2018-01-20,0.0,0.0,0.0,2.0,14.0,0.0,10.0,0.0,0,0,0
20,강남구,2018-01-21,0.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,0,0,0
21,강남구,2018-01-22,4.5,2.5,0.0,0.0,4.0,3.0,6.0,1.0,0,0,0
22,강남구,2018-01-23,0.0,0.0,0.0,4.0,8.0,0.0,9.0,0.0,0,0,0
23,강남구,2018-01-24,0.0,0.0,0.0,1.0,7.0,0.0,7.0,0.0,0,0,0
24,강남구,2018-01-25,0.0,0.0,0.0,3.0,10.0,0.0,10.0,0.0,0,0,0
25,강남구,2018-01-26,0.0,0.0,0.0,4.0,6.0,1.0,9.0,0.0,0,0,0
26,강남구,2018-01-27,0.0,0.0,0.0,2.0,9.0,0.0,8.0,0.0,0,0,0
27,강남구,2018-01-28,0.0,0.0,0.0,1.0,6.0,0.0,4.0,0.0,0,0,0
28,강남구,2018-01-29,0.0,0.0,0.0,1.0,19.0,1.0,12.0,0.0,0,0,0
29,강남구,2018-01-30,0.0,0.0,0.0,3.0,14.0,0.0,14.0,0.0,0,0,0
30,강남구,2018-01-31,0.0,0.0,0.0,1.0,7.0,1.0,9.0,0.0,0,0,0
31,강남구,2018-02-01,0.0,0.0,0.0,3.0,16.0,1.0,14.0,0.0,0,0,0
32,강남구,2018-02-02,0.0,0.0,0.0,3.0,14.0,2.0,15.0,0.0,0,0,0
33,강남구,2018-02-03,0.0,0.0,0.0,4.0,22.0,1.0,16.0,0.0,0,0,0
34,강남구,2018-02-04,0.0,0.0,0.0,2.0,12.0,4.0,8.0,0.0,0,0,0
35,강남구,2018-02-05,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,0,0,0
36,강남구,2018-02-06,0.0,0.0,0.0,4.0,11.0,0.0,10.0,0.0,0,0,0
37,강남구,2018-02-07,0.0,0.0,0.0,2.0,12.0,2.0,11.0,0.0,0,0,0
38,강남구,2018-02-08,0.0,0.0,0.0,3.0,4.0,2.0,8.0,0.0,0,0,0
39,강남구,2018-02-09,0.0,0.0,0.0,1.0,19.0,2.0,18.0,0.0,0,0,0
40,강남구,2018-02-10,0.0,0.0,0.0,7.0,9.0,1.0,11.0,0.0,0,0,0
41,강남구,2018-02-11,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0,0,0
42,강남구,2018-02-12,0.0,0.0,0.0,5.0,24.0,0.0,18.0,0.0,0,0,0
43,강남구,2018-02-13,0.0,0.0,0.0,6.0,13.0,0.0,14.0,0.0,0,0,0
44,강남구,2018-02-14,0.0,0.0,0.0,4.0,13.0,0.0,9.0,0.0,0,0,0
45,강남구,2018-02-15,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0,0,0
46,강남구,2018-02-16,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0,0,0
47,강남구,2018-02-17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0
48,강남구,2018-02-18,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0,0,0
49,강남구,2018-02-19,0.0,0.0,0.0,4.0,14.0,2.0,14.0,0.0,0,0,0
50,강남구,2018-02-20,0.0,0.0,0.0,2.0,11.0,0.0,8.0,0.0,0,0,0
51,강남구,2018-02-21,0.0,0.0,0.0,5.0,4.0,1.0,7.0,0.0,0,0,0
52,강남구,2018-02-22,0.0,2.0,0.0,1.0,9.0,1.0,8.0,0.0,0,0,0
53,강남구,2018-02-23,4.0,3.0,0.0,5.0,14.0,0.0,11.0,1.0,0,0,0
54,강남구,2018-02-24,0.0,0.0,0.0,2.0,8.0,0.0,8.0,0.0,0,0,0
55,강남구,2018-02-25,0.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0,0,0
56,강남구,2018-02-26,0.0,0.0,0.0,3.0,5.0,1.0,8.0,0.0,0,0,0
57,강남구,2018-02-27,0.0,0.0,1.0,0.0,9.0,0.0,7.0,0.0,0,0,0
58,강남구,2018-02-28,17.0,3.0,0.0,3.0,10.0,0.0,9.0,1.0,0,0,0
59,강남구,2018-03-01,1.0,0.5,0.0,4.0,10.0,1.0,9.0,1.0,0,0,0
60,강남구,2018-03-02,0.0,0.0,0.0,2.0,10.0,0.0,11.0,0.0,0,0,0
61,강남구,2018-03-03,0.0,0.0,0.0,3.0,6.0,0.0,4.0,0.0,0,0,0
62,강남구,2018-03-04,14.0,5.0,0.0,2.0,7.0,0.0,7.0,1.0,0,0,0
63,강남구,2018-03-05,6.0,1.5,0.0,5.0,9.0,1.0,10.0,1.0,0,0,0
64,강남구,2018-03-06,0.0,0.0,0.0,3.0,10.0,0.0,8.0,0.0,0,0,0
65,강남구,2018-03-07,0.5,1.0,0.0,1.0,9.0,1.0,9.0,1.0,0,0,0
66,강남구,2018-03-08,6.5,1.5,0.0,3.0,17.0,1.0,12.0,1.0,0,0,0
67,강남구,2018-03-09,0.0,0.0,0.0,1.0,12.0,2.0,11.0,0.0,0,0,0
68,강남구,2018-03-10,0.0,0.0,0.0,3.0,9.0,0.0,9.0,0.0,0,0,0
69,강남구,2018-03-11,0.0,0.0,0.0,8.0,5.0,3.0,9.0,0.0,0,0,0
70,강남구,2018-03-12,0.0,0.0,0.0,1.0,7.0,2.0,9.0,0.0,0,0,0
71,강남구,2018-03-13,0.0,0.0,0.0,0.0,13.0,0.0,10.0,0.0,0,0,0
72,강남구,2018-03-14,0.0,0.0,0.0,4.0,8.0,0.0,10.0,0.0,0,0,0
73,강남구,2018-03-15,30.5,9.5,0.0,0.0,8.0,0.0,5.0,1.0,0,0,0
74,강남구,2018-03-16,0.0,0.0,0.0,2.0,6.0,0.0,7.0,0.0,0,0,0
75,강남구,2018-03-17,0.0,0.0,1.0,7.0,10.0,1.0,12.0,0.0,0,0,0
76,강남구,2018-03-18,1.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,0,0,0
77,강남구,2018-03-19,2.0,0.5,0.0,5.0,12.0,0.0,12.0,1.0,0,0,0
78,강남구,2018-03-20,0.0,0.0,1.0,4.0,9.0,1.0,12.0,0.0,0,0,0
79,강남구,2018-03-21,0.5,0.5,0.0,0.0,5.0,0.0,5.0,1.0,0,0,0
80,강남구,2018-03-22,0.0,0.0,0.0,4.0,13.0,2.0,13.0,0.0,0,0,0
81,강남구,2018-03-23,0.0,0.0,0.0,5.0,9.0,1.0,10.0,0.0,0,0,0
82,강남구,2018-03-24,0.0,0.0,0.0,2.0,13.0,1.0,9.0,0.0,0,0,0
83,강남구,2018-03-25,0.0,0.0,0.0,2.0,15.0,4.0,14.0,0.0,0,0,0
84,강남구,2018-03-26,0.0,0.0,0.0,2.0,7.0,3.0,9.0,0.0,0,0,0
85,강남구,2018-03-27,0.0,0.0,0.0,2.0,6.0,2.0,6.0,0.0,0,0,0
86,강남구,2018-03-28,0.0,0.0,0.0,0.0,8.0,1.0,7.0,0.0,0,0,0
87,강남구,2018-03-29,0.0,0.0,0.0,3.0,8.0,1.0,10.0,0.0,0,0,0
88,강남구,2018-03-30,0.0,0.0,0.0,3.0,3.0,4.0,7.0,0.0,0,0,0
89,강남구,2018-03-31,0.0,0.0,0.0,3.0,4.0,2.0,8.0,0.0,0,0,0
90,강남구,2018-04-01,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0,0,0
91,강남구,2018-04-02,0.0,0.0,0.0,2.0,17.0,0.0,12.0,0.0,0,0,0
92,강남구,2018-04-03,0.0,0.0,0.0,3.0,14.0,1.0,11.0,0.0,0,0,0
93,강남구,2018-04-04,20.5,9.0,0.0,3.0,15.0,0.0,16.0,1.0,0,0,0
94,강남구,2018-04-05,17.5,3.5,0.0,5.0,13.0,2.0,13.0,1.0,0,0,0
95,강남구,2018-04-06,9.0,3.0,1.0,4.0,3.0,3.0,8.0,1.0,0,0,0
96,강남구,2018-04-07,0.0,0.0,0.0,8.0,7.0,0.0,10.0,0.0,0,0,0
97,강남구,2018-04-08,4.0,3.0,0.0,2.0,17.0,1.0,13.0,1.0,0,0,0
98,강남구,2018-04-09,0.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,0,0,0
99,강남구,2018-04-10,3.5,3.0,0.0,3.0,4.0,0.0,5.0,1.0,0,0,0
100,강남구,2018-04-11,0.0,0.0,0.0,2.0,7.0,0.0,9.0,0.0,0,0,0
101,강남구,2018-04-12,0.0,0.0,0.0,5.0,15.0,1.0,14.0,0.0,0,0,0
102,강남구,2018-04-13,0.0,0.0,0.0,0.0,12.0,0.0,8.0,0.0,0,0,0
103,강남구,2018-04-14,12.5,4.0,0.0,3.0,16.0,4.0,11.0,1.0,0,0,0
104,강남구,2018-04-16,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,0,0,0
105,강남구,2018-04-17,0.0,0.0,0.0,2.0,14.0,1.0,10.0,0.0,0,0,0
106,강남구,2018-04-18,0.0,0.0,0.0,3.0,8.0,5.0,12.0,0.0,0,0,0
107,강남구,2018-04-19,0.0,0.0,0.0,1.0,12.0,0.0,9.0,0.0,0,0,0
108,강남구,2018-04-20,0.0,0.0,0.0,6.0,9.0,1.0,11.0,0.0,0,0,0
109,강남구,2018-04-21,0.0,0.0,0.0,3.0,18.0,1.0,15.0,0.0,0,0,0
110,강남구,2018-04-22,10.0,3.5,0.0,3.0,10.0,0.0,7.0,1.0,0,0,0
111,강남구,2018-04-23,67.5,13.5,0.0,3.0,16.0,2.0,14.0,1.0,0,0,0
112,강남구,2018-04-24,1.5,1.0,0.0,0.0,6.0,2.0,7.0,1.0,0,0,0
113,강남구,2018-04-25,0.0,0.0,0.0,2.0,19.0,0.0,11.0,0.0,0,0,0
114,강남구,2018-04-26,0.0,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0,0,0
115,강남구,2018-04-27,0.0,0.0,0.0,5.0,8.0,4.0,11.0,0.0,0,0,0
116,강남구,2018-04-28,0.0,0.0,0.0,2.0,10.0,1.0,8.0,0.0,0,0,0
117,강남구,2018-04-29,0.0,0.0,0.0,5.0,5.0,1.0,9.0,0.0,0,0,0
118,강남구,2018-04-30,0.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,0,0,0
119,강남구,2018-05-01,0.0,0.0,0.0,4.0,11.0,1.0,11.0,0.0,0,0,0
120,강남구,2018-05-02,5.5,1.5,0.0,3.0,6.0,1.0,7.0,1.0,0,0,0
121,강남구,2018-05-03,5.5,2.0,0.0,1.0,14.0,0.0,11.0,1.0,0,0,0
122,강남구,2018-05-04,0.0,0.0,0.0,2.0,10.0,0.0,8.0,0.0,0,0,0
123,강남구,2018-05-05,0.0,0.0,0.0,2.0,7.0,1.0,7.0,0.0,0,0,0
124,강남구,2018-05-06,25.5,4.5,0.0,0.0,2.0,0.0,2.0,1.0,0,0,0
125,강남구,2018-05-07,0.0,0.0,0.0,2.0,4.0,0.0,6.0,0.0,0,0,0
126,강남구,2018-05-08,0.0,0.0,0.0,3.0,8.0,0.0,9.0,0.0,0,0,0
127,강남구,2018-05-09,0.0,0.0,0.0,1.0,9.0,1.0,9.0,0.0,0,0,0
128,강남구,2018-05-10,0.0,0.0,0.0,2.0,14.0,2.0,14.0,0.0,0,0,0
129,강남구,2018-05-11,0.0,0.0,0.0,6.0,18.0,4.0,10.0,0.0,0,0,0
130,강남구,2018-05-12,33.0,5.5,0.0,0.0,13.0,2.0,9.0,1.0,0,0,0
131,강남구,2018-05-13,0.0,0.0,0.0,5.0,15.0,0.0,11.0,0.0,0,0,0
132,강남구,2018-05-14,0.0,0.0,0.0,2.0,5.0,2.0,9.0,0.0,0,0,0
133,강남구,2018-05-15,0.0,0.0,0.0,1.0,11.0,1.0,11.0,0.0,0,0,0
134,강남구,2018-05-16,36.5,30.5,0.0,2.0,14.0,0.0,11.0,1.0,0,1,1
135,강남구,2018-05-17,103.0,27.5,0.0,3.0,9.0,0.0,9.0,1.0,1,0,1
136,강남구,2018-05-18,6.0,3.0,0.0,2.0,5.0,1.0,6.0,1.0,0,0,0
137,강남구,2018-05-19,0.0,0.0,0.0,3.0,12.0,0.0,9.0,0.0,0,0,0
138,강남구,2018-05-20,0.0,0.0,0.0,1.0,7.0,1.0,8.0,0.0,0,0,0
139,강남구,2018-05-21,0.0,0.0,0.0,3.0,9.0,1.0,9.0,0.0,0,0,0
140,강남구,2018-05-22,13.0,4.5,0.0,2.0,4.0,1.0,6.0,1.0,0,0,0
141,강남구,2018-05-23,7.0,3.5,0.0,2.0,5.0,2.0,9.0,1.0,0,0,0
142,강남구,2018-05-24,0.0,0.0,0.0,3.0,5.0,0.0,7.0,0.0,0,0,0
143,강남구,2018-05-25,0.0,0.0,0.0,6.0,11.0,2.0,11.0,0.0,0,0,0
144,강남구,2018-05-26,0.0,0.0,0.0,0.0,16.0,2.0,16.0,0.0,0,0,0
145,강남구,2018-05-27,0.0,0.0,0.0,3.0,12.0,0.0,8.0,0.0,0,0,0
146,강남구,2018-05-28,0.0,0.0,0.0,1.0,8.0,0.0,7.0,0.0,0,0,0
147,강남구,2018-05-29,2.5,2.5,0.0,6.0,9.0,1.0,12.0,1.0,0,0,0
148,강남구,2018-05-30,0.0,0.0,0.0,7.0,9.0,3.0,16.0,0.0,0,0,0
149,강남구,2018-05-31,0.0,0.0,0.0,3.0,10.0,2.0,10.0,0.0,0,0,0
150,강남구,2018-06-01,0.0,0.0,0.0,5.0,15.0,3.0,18.0,0.0,0,0,0
151,강남구,2018-06-02,0.0,0.0,0.0,0.0,17.0,5.0,8.0,0.0,0,0,0
152,강남구,2018-06-03,0.0,0.0,0.0,3.0,12.0,0.0,7.0,0.0,0,0,0
153,강남구,2018-06-04,0.0,0.0,0.0,2.0,9.0,1.0,8.0,0.0,0,0,0
154,강남구,2018-06-05,0.0,0.0,0.0,4.0,9.0,1.0,12.0,0.0,0,0,0
155,강남구,2018-06-06,0.0,0.0,0.0,2.0,14.0,0.0,11.0,0.0,0,0,0
156,강남구,2018-06-07,0.0,0.0,0.0,1.0,11.0,1.0,12.0,0.0,0,0,0
157,강남구,2018-06-08,0.0,0.0,0.0,2.0,19.0,2.0,17.0,0.0,0,0,0
158,강남구,2018-06-09,1.0,0.5,0.0,3.0,22.0,1.0,12.0,1.0,0,0,0
159,강남구,2018-06-10,0.5,0.5,0.0,3.0,12.0,0.0,10.0,1.0,0,0,0
160,강남구,2018-06-11,2.0,1.5,0.0,1.0,6.0,1.0,6.0,1.0,0,0,0
161,강남구,2018-06-12,1.0,0.5,0.0,1.0,4.0,3.0,6.0,1.0,0,0,0
162,강남구,2018-06-13,0.0,0.0,0.0,3.0,6.0,0.0,7.0,0.0,0,0,0
163,강남구,2018-06-14,2.5,2.0,0.0,0.0,8.0,3.0,8.0,1.0,0,0,0
164,강남구,2018-06-15,0.5,0.5,0.0,4.0,9.0,1.0,9.0,1.0,0,0,0
165,강남구,2018-06-16,0.0,0.0,0.0,3.0,12.0,0.0,10.0,0.0,0,0,0
166,강남구,2018-06-17,0.0,0.0,0.0,1.0,10.0,0.0,8.0,0.0,0,0,0
167,강남구,2018-06-18,0.0,0.0,0.0,5.0,15.0,3.0,13.0,0.0,0,0,0
168,강남구,2018-06-19,0.0,0.0,0.0,4.0,15.0,3.0,13.0,0.0,0,0,0
169,강남구,2018-06-20,0.0,0.0,0.0,1.0,5.0,4.0,6.0,0.0,0,0,0
170,강남구,2018-06-21,0.0,0.0,0.0,1.0,4.0,5.0,8.0,0.0,0,0,0
171,강남구,2018-06-22,0.0,0.0,0.0,5.0,8.0,3.0,14.0,0.0,0,0,0
172,강남구,2018-06-23,0.0,0.0,0.0,4.0,8.0,0.0,9.0,0.0,0,0,0
173,강남구,2018-06-24,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0,0,0
174,강남구,2018-06-25,0.0,0.0,0.0,2.0,8.0,1.0,7.0,0.0,0,0,0
175,강남구,2018-06-26,48.5,10.0,0.0,4.0,10.0,5.0,11.0,1.0,0,0,0
176,강남구,2018-06-27,0.5,0.5,0.0,5.0,2.0,1.0,6.0,1.0,0,0,0
177,강남구,2018-06-28,10.0,6.0,0.0,2.0,9.0,2.0,12.0,1.0,0,0,0
178,강남구,2018-06-29,1.5,1.5,0.0,1.0,14.0,3.0,11.0,1.0,0,0,0
179,강남구,2018-06-30,3.5,3.5,0.0,4.0,11.0,0.0,7.0,1.0,0,0,0
180,강남구,2018-07-01,81.5,13.0,0.0,2.0,8.0,3.0,9.0,1.0,1,0,1
181,강남구,2018-07-02,73.0,27.0,1.0,4.0,10.0,0.0,12.0,1.0,0,0,0
182,강남구,2018-07-03,0.0,0.0,0.0,6.0,8.0,0.0,13.0,0.0,0,0,0
183,강남구,2018-07-04,0.0,0.0,0.0,1.0,9.0,1.0,10.0,0.0,0,0,0
184,강남구,2018-07-05,1.0,1.0,0.0,4.0,5.0,2.0,9.0,1.0,0,0,0
185,강남구,2018-07-06,0.0,0.0,0.0,2.0,11.0,0.0,11.0,0.0,0,0,0
186,강남구,2018-07-07,0.0,0.0,0.0,3.0,2.0,0.0,5.0,0.0,0,0,0
187,강남구,2018-07-08,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0,0,0
188,강남구,2018-07-09,11.5,6.5,0.0,7.0,12.0,0.0,15.0,1.0,0,0,0
189,강남구,2018-07-10,10.0,7.0,0.0,2.0,11.0,1.0,10.0,1.0,0,0,0
190,강남구,2018-07-11,2.5,1.0,0.0,2.0,6.0,1.0,6.0,1.0,0,0,0
191,강남구,2018-07-12,0.5,0.5,0.0,5.0,7.0,1.0,9.0,1.0,0,0,0
192,강남구,2018-07-13,0.0,0.0,0.0,2.0,12.0,1.0,13.0,0.0,0,0,0
193,강남구,2018-07-14,0.0,0.0,0.0,1.0,9.0,0.0,5.0,0.0,0,0,0
194,강남구,2018-07-15,0.0,0.0,0.0,1.0,4.0,2.0,5.0,0.0,0,0,0
195,강남구,2018-07-16,0.0,0.0,0.0,3.0,19.0,1.0,19.0,0.0,0,0,0
196,강남구,2018-07-17,0.0,0.0,0.0,3.0,14.0,1.0,14.0,0.0,0,0,0
197,강남구,2018-07-18,0.0,0.0,0.0,2.0,15.0,1.0,13.0,0.0,0,0,0
198,강남구,2018-07-19,0.0,0.0,1.0,1.0,11.0,0.0,12.0,0.0,0,0,0
199,강남구,2018-07-20,0.0,0.0,0.0,5.0,12.0,1.0,15.0,0.0,0,0,0
200,강남구,2018-07-21,0.0,0.0,0.0,3.0,13.0,0.0,10.0,0.0,0,0,0
201,강남구,2018-07-22,0.0,0.0,0.0,2.0,8.0,0.0,7.0,0.0,0,0,0
202,강남구,2018-07-23,0.0,0.0,0.0,2.0,14.0,1.0,14.0,0.0,0,0,0
203,강남구,2018-07-24,0.0,0.0,0.0,1.0,8.0,0.0,6.0,0.0,0,0,0
204,강남구,2018-07-25,0.0,0.0,0.0,2.0,23.0,1.0,16.0,0.0,0,0,0
205,강남구,2018-07-26,0.0,0.0,0.0,7.0,13.0,0.0,14.0,0.0,0,0,0
206,강남구,2018-07-27,0.0,0.0,0.0,5.0,14.0,2.0,14.0,0.0,0,0,0
207,강남구,2018-07-28,16.0,9.0,0.0,2.0,10.0,0.0,9.0,1.0,0,0,0
208,강남구,2018-07-29,0.0,0.0,0.0,3.0,7.0,2.0,8.0,0.0,0,0,0
209,강남구,2018-07-30,0.0,0.0,0.0,5.0,15.0,0.0,16.0,0.0,0,0,0
210,강남구,2018-07-31,0.0,0.0,0.0,1.0,4.0,0.0,5.0,0.0,0,0,0
211,강남구,2018-08-01,0.0,0.0,0.0,4.0,14.0,0.0,12.0,0.0,0,0,0
212,강남구,2018-08-02,0.0,0.0,0.0,1.0,18.0,1.0,11.0,0.0,0,0,0
213,강남구,2018-08-03,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0,0,0
214,강남구,2018-08-04,0.0,0.0,0.0,1.0,8.0,1.0,10.0,0.0,0,0,0
215,강남구,2018-08-05,0.5,0.5,0.0,2.0,10.0,5.0,8.0,1.0,0,0,0
216,강남구,2018-08-06,53.5,46.0,0.0,2.0,7.0,0.0,5.0,1.0,0,1,1
217,강남구,2018-08-07,0.0,0.0,0.0,4.0,3.0,0.0,4.0,0.0,0,0,0
218,강남구,2018-08-08,0.0,0.0,0.0,1.0,7.0,1.0,8.0,0.0,0,0,0
219,강남구,2018-08-09,30.5,23.5,0.0,5.0,15.0,3.0,18.0,1.0,0,0,0
220,강남구,2018-08-10,0.0,0.0,0.0,4.0,5.0,0.0,9.0,0.0,0,0,0
221,강남구,2018-08-11,0.0,0.0,0.0,2.0,11.0,1.0,9.0,0.0,0,0,0
222,강남구,2018-08-12,0.0,0.0,1.0,2.0,5.0,0.0,5.0,0.0,0,0,0
223,강남구,2018-08-13,3.0,3.0,1.0,1.0,7.0,0.0,9.0,1.0,0,0,0
224,강남구,2018-08-14,0.0,0.0,0.0,1.0,9.0,0.0,9.0,0.0,0,0,0
225,강남구,2018-08-15,1.0,1.0,0.0,2.0,14.0,3.0,7.0,1.0,0,0,0
226,강남구,2018-08-16,0.0,0.0,0.0,2.0,10.0,1.0,6.0,0.0,0,0,0
227,강남구,2018-08-17,0.0,0.0,0.0,2.0,17.0,1.0,10.0,0.0,0,0,0
228,강남구,2018-08-18,0.0,0.0,0.0,3.0,13.0,1.0,13.0,0.0,0,0,0
229,강남구,2018-08-19,0.0,0.0,0.0,3.0,11.0,0.0,9.0,0.0,0,0,0
