,시도,시군구,월,일,경상자수,부상신고자수,중상자수,부상자수,사고건수,사망자수,연도
0,인천,강화군,01월,01일,1,0,0,1,1,0,2018년
1,인천,강화군,02월,01일,1,0,0,1,1,0,2018년
2,인천,강화군,03월,01일,0,0,1,1,1,0,2018년
3,인천,강화군,04월,01일,0,0,0,0,0,0,2018년
4,인천,강화군,05월,01일,1,0,0,1,1,0,2018년
5,인천,강화군,06월,01일,0,0,0,0,0,0,2018년
6,인천,강화군,07월,01일,5,0,3,8,3,0,2018년
7,인천,강화군,08월,01일,0,0,0,0,0,0,2018년
8,인천,강화군,09월,01일,1,0,0,1,1,0,2018년
9,인천,강화군,10월,01일,0,4,0,4,1,0,2018년
10,인천,강화군,11월,01일,0,0,2,2,1,0,2018년
11,인천,강화군,12월,01일,0,0,0,0,0,0,2018년
12,인천,계양구,01월,01일,1,1,1,3,3,0,2018년
13,인천,계양구,02월,01일,1,0,3,4,4,0,2018년
14,인천,계양구,03월,01일,2,0,0,2,1,0,2018년
15,인천,계양구,04월,01일,0,0,0,0,0,0,2018년
16,인천,계양구,05월,01일,3,0,0,3,2,0,2018년
17,인천,계양구,06월,01일,2,0,0,2,1,0,2018년
18,인천,계양구,07월,01일,1,1,3,5,4,0,2018년
19,인천,계양구,08월,01일,1,0,0,1,1,0,2018년
20,인천,계양구,09월,01일,0,1,0,1,1,0,2018년
21,인천,계양구,10월,01일,4,0,0,4,3,0,2018년
22,인천,계양구,11월,01일,0,0,0,0,0,0,2018년
23,인천,계양구,12월,01일,1,0,1,2,2,0,2018년
24,인천,남동구,01월,01일,4,0,0,4,2,0,2018년
25,인천,남동구,02월,01일,7,2,4,13,9,0,2018년
26,인천,남동구,03월,01일,5,0,2,7,3,0,2018년
27,인천,남동구,04월,01일,1,0,1,2,2,0,2018년
28,인천,남동구,05월,01일,5,0,1,6,4,0,2018년
29,인천,남동구,06월,01일,2,2,0,4,4,0,2018년
30,인천,남동구,07월,01일,3,0,1,4,2,0,2018년
31,인천,남동구,08월,01일,2,1,0,3,3,0,2018년
32,인천,남동구,09월,01일,2,0,0,2,1,0,2018년
33,인천,남동구,10월,01일,1,0,1,2,2,0,2018년
34,인천,남동구,11월,01일,11,0,2,13,9,0,2018년
35,인천,남동구,12월,01일,4,1,0,5,3,0,2018년
36,인천,동구,01월,01일,0,0,0,0,0,0,2018년
37,인천,동구,02월,01일,0,0,1,1,1,0,2018년
38,인천,동구,03월,01일,0,0,0,0,0,0,2018년
39,인천,동구,04월,01일,0,0,1,1,1,0,2018년
40,인천,동구,05월,01일,0,0,0,0,0,0,2018년
