N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"78,800","1,500",-1.87%,100,"4,704,189","5,969,783",51.89,"19,681,132",15.27,9.99,
2,SK하이닉스,"127,000",500,-0.39%,"5,000","924,563","728,002",48.95,"3,825,725",11.48,9.53,
3,NAVER,"382,000","2,500",-0.65%,100,"626,668","164,049",56.15,"351,967",3.78,15.22,
4,삼성전자우,"71,700",700,-0.97%,100,"590,010","822,887",74.56,"1,491,882",13.90,N/A,
5,삼성바이오로직스,"890,000","1,000",-0.11%,"2,500","588,868","66,165",11.16,"71,396",143.46,N/A,
6,카카오,"114,000",500,+0.44%,100,"508,195","445,785",30.81,"1,786,029",44.88,2.70,
7,삼성SDI,"663,000","12,000",+1.84%,"5,000","455,909","68,765",45.44,"235,259",41.58,4.54,
8,현대차,"212,000","2,000",-0.93%,"5,000","452,977","213,668",28.25,"657,449",10.74,2.04,
9,LG화학,"628,000","4,000",-0.63%,"5,000","443,320","70,592",46.70,"160,605",16.36,2.93,
10,기아,"83,400","1,100",-1.30%,"5,000","338,073","405,363",34.93,"1,051,422",7.56,5.05,
11,카카오뱅크,"59,800",500,-0.83%,"5,000","284,145","475,159",17.21,"503,505",193.53,5.08,
12,셀트리온,"201,000","11,000",-5.19%,"1,000","277,274","137,947",20.54,"1,616,508",51.15,16.68,
13,현대모비스,"261,000","4,500",-1.69%,"5,000","246,836","94,573",34.22,"248,429",10.51,4.66,
14,POSCO,"279,000","4,500",-1.59%,"5,000","243,251","87,187",52.22,"328,557",4.18,3.61,
15,카카오페이,"176,500","5,000",-2.75%,500,"232,774","131,883",42.72,"247,661",-878.11,-17.97,
16,KB금융,"55,400","1,400",-2.46%,"5,000","230,358","415,808",69.36,"1,157,796",5.30,8.53,
17,LG전자,"140,500","2,500",+1.81%,"5,000","229,925","163,648",29.01,"1,101,436",20.27,13.23,
18,크래프톤,"467,000","5,000",+1.08%,100,"228,676","48,967",30.56,"167,844",36.60,61.86,
19,SK이노베이션,"239,000","13,000",+5.75%,"5,000","220,993","92,466",23.54,"680,199","-7,029.41",-13.58,
20,삼성물산,"116,000","2,000",-1.69%,100,"216,789","186,887",14.89,"417,509",13.20,3.81,
21,신한지주,"37,200",950,-2.49%,"5,000","192,175","516,600",60.17,"1,829,675",4.94,8.20,
22,SK,"255,000",500,-0.20%,200,"189,081","74,149",21.65,"188,834",29.80,1.11,
23,LG생활건강,"1,111,000","21,000",-1.86%,"5,000","173,518","15,618",43.14,"27,126",23.12,17.92,
24,SK바이오사이언스,"223,500","2,000",+0.90%,500,"170,978","76,500",5.97,"675,018",86.06,13.25,
25,삼성전기,"197,000","3,000",+1.55%,"5,000","147,147","74,694",30.50,"852,567",15.14,10.92,
26,엔씨소프트,"660,000","4,000",+0.61%,500,"144,897","21,954",44.53,"105,638",40.75,20.83,
27,하이브,"349,500","8,500",-2.37%,500,"144,530","41,353",16.85,"333,555",124.33,12.52,
